Guyana,70,67,73,1.5,1.4,27,0,3.8,187,9300
Paraguay,74,72,76,0.6,0.3,62,47,3.9,149,12830
Peru,77,74,80,0.5,0.2,78,32,3.8,941,12450
Suriname,72,69,75,1.5,1.2,66,0,3.8,930,14390
Uruguay,78,74,81,0.8,0.3,95,50,2.8,145,20590
Venezuela,71,68,75,—,—,88,29,3.9,1102,—
ASIA,73,71,75,—,—,51,23,—,929,12810
Asia (Excluding China),72,70,74,—,—,46,21,4.5,848,11529
Western Asia,75,73,77,—,—,72,34,—,737,29309
Armenia,76,72,79,0.2,0.1,64,37,3.5,663,13190
Azerbaijan,76,73,78,—,—,53,23,4.1,483,13780
Bahrain,77,76,78,—,—,89,0,—,91578,44700
Cyprus,81,79,83,—,—,68,0,2.6,1262,39880
Georgia,74,70,78,0.5,0.2,59,28,3.4,1147,13980
Iraq,72,70,74,—,—,70,27,6.3,794,10780
Israel,83,81,85,0.2,<0.1,92,61,3.3,2381,40280
Jordan,74,73,76,<0.1,<0.1,91,21,4.7,5711,10050
Kuwait,82,81,83,0.1,<0.1,100,72,—,54545,59760
Lebanon,79,77,81,<0.1,<0.1,89,40,—,5170,16330
Oman,78,76,81,0.2,0.1,85,30,5.1,6801,29160
Palestinian Territory,74,73,75,—,—,76,0,5.1,9855,6750
Qatar,79,79,82,—,—,100,0,4.7,20275,94910
Saudi Arabia,76,74,78,—,—,84,48,—,1011,49200
Syria,74,72,75,<0.1,<0.1,55,30,—,416,—
Turkey,78,76,81,—,—,76,40,3.4,418,27710
United Arab Emirates,78,77,79,—,—,87,62,—,21974,67870
Yemen,66,65,68,0.1,<0.1,37,10,6.7,2717,—
Central Asia,73,70,76,0.3,0.1,48,10,4.7,201,11088
Kazakhstan,72,68,77,0.3,0.2,59,22,3.4,64,22950
Kyrgyzstan,72,68,76,0.3,0.2,34,16,4.0,512,5110
Tajikistan,75,73,77,0.3,0.1,26,0,6.0,1310,3890
Turkmenistan,68,65,72,—,—,52,0,—,311,14570
Uzbekistan,75,72,77,0.3,0.1,51,8,5.1,849,7110
South Asia,70,68,71,—,—,36,17,4.8,889,6575
Afghanistan,65,63,66,<0.1,<0.1,26,11,8.0,506,2240
Bangladesh,72,71,74,<0.1,<0.1,37,15,4.3,2206,4760
Bhutan,72,71,72,0.3,0.2,38,0,4.2,730,10580
India,69,68,70,—,—,35,16,4.6,895,6630
Iran,77,75,78,0.2,<0.1,75,27,3.5,573,14560
Maldives,79,77,80,—,—,41,0,5.3,13872,17480
Nepal,69,67,70,0.2,0.1,20,5,4.2,1419,3360
Pakistan,69,67,71,0.2,<0.1,37,22,6.6,708,5110
Sri Lanka,77,74,80,<0.1,<0.1,19,0,3.9,1687,12900
Southeast Asia,72,69,75,0.6,0.3,49,17,4.1,904,11893
Brunei,78,76,79,—,—,78,0,—,9387,62820
Cambodia,70,69,73,0.5,0.6,24,12,4.6,396,3970
Indonesia,71,69,73,0.5,0.3,55,14,4.0,1033,11290
Laos,66,64,68,0.3,0.2,36,0,4.7,466,7410
Malaysia,75,72,77,0.7,0.1,76,27,4.2,3879,27200
Myanmar,67,64,70,0.9,0.6,30,12,4.2,495,4860
Philippines,71,67,76,0.3,<0.1,47,14,4.2,1960,9980
Singapore,83,81,85,0.4,<0.1,100,100,3.3,1030223,92150
Thailand,77,73,80,1.2,1.0,57,21,—,396,17650
Timor-Leste,70,68,72,—,—,31,0,5.3,850,4520
Vietnam,74,71,76,0.4,0.2,34,19,3.9,1377,7230
East Asia,78,76,80,—,—,64,33,—,1282,18578
China,77,75,79,—,—,61,29,—,1179,15320
China Hong Kong SARh,85,82,88,—,—,100,100,2.8,241742,65850
China Macao SARh,84,81,87,—,—,100,0,3.1,—,124120
Japan,84,81,87,<0.1,<0.1,92,65,2.4,3027,43010
Korea North,72,69,76,—,—,62,12,3.8,1097,—
Korea South,83,80,86,—,—,81,51,2.5,3707,39630
Mongolia,71,66,76,<0.1,<0.1,68,49,3.0,593,11050
Taiwan,80,77,84,—,—,79,51,2.7,4015,—
EUROPE,79,75,82,—,—,75,19,2.4,272,38709
European Union,81,78,84,—,—,75,17,2.3,449,44418
Northern Europe,81,79,83,—,—,82,23,2.2,567,49468
Channel Islands,83,81,85,—,—,31,0,—,4495,—
Denmark,81,79,83,0.2,<0.1,88,23,2.1,246,57980
Estonia,78,74,82,1.1,0.6,69,0,2.1,195,35340
Finland,82,79,84,0.2,<0.1,70,23,2.1,247,49720
Iceland,83,81,84,0.2,<0.1,94,0,2.6,304,55920
Ireland,81,78,83,0.3,0.1,63,25,2.6,1135,68060
Latvia,75,70,80,0.6,0.3,69,0,2.2,147,30220
Lithuania,76,71,81,—,—,67,0,2.1,133,34680
Norway,83,81,85,0.2,<0.1,82,19,2.2,672,70530
Sweden,83,81,85,—,—,88,16,1.9,405,54640
United Kingdom,81,79,83,—,—,84,27,2.3,1104,46240
Western Europe,82,79,84,0.3,0.1,80,17,2.1,577,53871
Austria,82,79,84,—,—,59,22,2.2,671,56720
Belgium,82,79,84,—,—,98,27,2.3,1377,52590
France,83,80,86,0.5,0.2,81,25,2.2,352,47490
Germany,81,78,83,0.2,<0.1,77,10,2.0,708,55980
Liechtenstein,84,82,86,—,—,14,0,2.3,1803,—
Luxembourg,82,80,85,0.4,0.2,91,0,2.4,1019,74400
Monaco,—,—,—,—,—,100,0,2.1,—,—
Netherlands,82,80,83,—,—,92,13,2.2,1684,58140
Switzerland,84,82,85,—,—,85,16,2.3,2168,70140
Eastern Europe,74,69,79,—,—,70,17,2.5,151,25463
Belarus,75,69,79,0.5,0.4,78,22,2.5,164,18650
Bulgaria,75,71,78,0.1,<0.1,74,18,2.3,199,22650
Czechia,79,76,82,0.1,<0.1,74,12,2.3,429,38180
Hungary,76,73,79,<0.1,<0.1,71,18,2.3,226,30310
Moldova,73,69,77,0.7,0.5,43,0,2.2,203,13170
Poland,78,74,82,—,—,60,5,2.6,352,30410
Romania,76,72,79,0.2,0.1,54,9,2.6,225,28350
Russia,73,68,78,—,—,74,24,2.6,121,27840
Slovakia,77,74,80,<0.1,<0.1,54,0,2.7,407,31960
Ukraine,72,67,77,1.2,0.7,69,12,2.5,127,9030
Southern Europe,82,79,84,0.4,0.2,72,22,2.5,545,37188
Albania,79,77,81,—,—,61,0,3.7,468,13820
Andorra,—,—,—,—,—,88,0,—,10245,—
Bosnia-Herzegovina,77,75,80,<0.1,<0.1,49,0,3.5,310,14920
Croatia,78,75,81,0.1,<0.1,57,0,2.8,492,27700
Greece,82,79,84,—,—,79,28,2.3,500,30430
Italy,83,81,85,0.4,0.2,71,19,2.3,895,43260
Kosovoi,77,74,79,—,—,39,—,5.4,—,11050
Malta,83,80,85,—,—,95,0,2.5,5751,40120
Montenegro,78,75,81,0.2,<0.1,67,0,3.3,6760,21550
North Macedonia,76,74,78,<0.1,<0.1,58,0,3.7,498,15930
Portugal,81,78,83,0.7,0.3,73,42,2.5,1091,33520
San Marino,85,82,87,—,—,97,0,—,3365,—
Serbia,76,73,78,<0.1,<0.1,60,16,2.9,268,16710
Slovenia,81,78,84,0.1,<0.1,55,0,2.3,1145,38140
Spain,83,80,86,0.6,0.1,81,26,2.5,389,40570
OCEANIA,79,77,81,0.3,0.2,68,41,3.2,135,36264
Australia,85,83,86,0.2,<0.1,86,62,2.5,84,49440
Federated States of Micronesia,70,69,72,—,—,23,0,6.1,5300,3640
Fiji,68,67,70,—,—,56,0,4.8,543,13180
French Polynesia,76,74,78,—,—,62,0,3.9,11201,—
Guam,76,74,79,—,—,95,0,3.8,17535,—
Kiribati,62,59,64,—,—,55,0,5.9,6261,4410
Marshall Islands,72,71,73,—,—,77,0,6.8,2851,5090
Nauru,61,57,65,—,—,100,0,6.0,—,20940
New Caledonia,77,74,80,—,—,71,0,3.5,4732,—
New Zealand,82,80,84,0.2,<0.1,87,33,2.7,875,40550
Palau,73,68,78,—,—,80,0,3.4,1800,19510
Papua New Guinea,66,63,68,0.6,0.9,13,0,5.0,2983,4220
Samoa,75,74,76,—,—,18,0,7.0,2501,6390
Solomon Islands,70,67,74,—,—,24,0,5.5,3495,2320
Tonga,71,69,73,—,—,23,0,5.5,550,6520
Tuvalu,65,64,67,—,—,62,0,6.0,—,6100
Vanuatu,71,70,73,—,—,25,0,4.8,1604,3250
